Invalid value for param: request_id	on [2019-18-18 19:47:04]
Invalid value for param: request_id	on [2019-18-18 20:22:35]
SQLSTATE[42S22]: Column not found: 1054 Unknown column 'confirmation_code' in 'where clause' (SQL: select * from `users` where `confirmation_code` = 7888 limit 1)	on [2019-18-18 20:31:11]
SQLSTATE[42S22]: Column not found: 1054 Unknown column 'confirmation_code' in 'where clause' (SQL: select * from `users` where `confirmation_code` = 7888 limit 1)	on [2019-18-18 20:31:26]
SQLSTATE[42S22]: Column not found: 1054 Unknown column 'confirmation_code' in 'where clause' (SQL: select * from `users` where `confirmation_code` = 7888 limit 1)	on [2019-18-18 20:31:36]
SQLSTATE[42S22]: Column not found: 1054 Unknown column 'confirmation_code' in 'where clause' (SQL: select * from `users` where `confirmation_code` = 7888 limit 1)	on [2019-18-18 20:31:42]
SQLSTATE[42S22]: Column not found: 1054 Unknown column 'confirmation_code' in 'where clause' (SQL: select * from `users` where `confirmation_code` = 7888 limit 1)	on [2019-18-18 20:31:52]
SQLSTATE[42S22]: Column not found: 1054 Unknown column 'confirmation_code' in 'where clause' (SQL: select * from `users` where `confirmation_code` = 7888 limit 1)	on [2019-18-18 20:31:56]
SQLSTATE[42S22]: Column not found: 1054 Unknown column 'confirmation_code' in 'where clause' (SQL: select * from `users` where `confirmation_code` = 7888 limit 1)	on [2019-18-18 20:46:02]
A facade root has not been set.	on [2019-18-18 20:49:35]
Invalid value for param: request_id	on [2019-20-20 11:40:55]
Invalid value for param: request_id	on [2019-20-20 11:44:21]
The code provided does not match the expected value	on [2019-20-20 12:01:33]
The code provided does not match the expected value	on [2019-20-20 12:03:54]
The Nexmo platform was unable to process this message for the following reason: Request 'ed61f713553b40c28dd292a898b2f3cc' was not found or it has been verified already.	on [2019-20-20 12:10:10]
The Nexmo platform was unable to process this message for the following reason: Request 'ed61f713553b40c28dd292a898b2f3cc' was not found or it has been verified already.	on [2019-20-20 12:10:28]
The Nexmo platform was unable to process this message for the following reason: Request 'ed61f713553b40c28dd292a898b2f3cc' was not found or it has been verified already.	on [2019-20-20 12:10:43]
The Nexmo platform was unable to process this message for the following reason: Request 'ed61f713553b40c28dd292a898b2f3cc' was not found or it has been verified already.	on [2019-20-20 12:11:25]
The Nexmo platform was unable to process this message for the following reason: Request 'ed61f713553b40c28dd292a898b2f3cc' was not found or it has been verified already.	on [2019-20-20 12:11:37]
The Nexmo platform was unable to process this message for the following reason: Request 'ed61f713553b40c28dd292a898b2f3cc' was not found or it has been verified already.	on [2019-20-20 12:11:48]
The Nexmo platform was unable to process this message for the following reason: Request 'c325076001a24fe1a3e186a04801b3ae' was not found or it has been verified already.	on [2019-22-22 10:47:35]
